cod_uf,cod_munic,municipio,cod_amc,AMC,flag
Goías,5200050,Abadia de Goiás - GO,52AMC9197009,4240,0
Minas Gerais,3100104,Abadia dos Dourados - MG,310010,1708,0
Goías,5200100,Abadiânia - GO,520010,4050,0
Pará,1500107,Abaetetuba - PA,150010,91,0
Minas Gerais,3100203,Abaeté - MG,310020,1709,0
Ceará,2300101,Abaiara - CE,230010,459,0
Bahia,2900207,Abaré - BA,290020,1293,0
Paraná,4100103,Abatiá - PR,410010,3132,0
Bahia,2900108,Abaíra - BA,290010,1292,0
Santa Catarina,4200051,Abdon Batista - SC,420005,3448,0
Pará,1500131,Abel Figueiredo - PA,15AMC9197004,165,0
Santa Catarina,4200101,Abelardo Luz - SC,42AMC9197045,3647,0
Minas Gerais,3100302,Abre Campo - MG,31AMC9197001,2343,0
Pernambuco,2600054,Abreu e Lima - PE,260005,957,0
Tocantins,1700251,Abreulândia - TO,17AMC9197003,225,0
Minas Gerais,3100401,Acaiaca - MG,310040,1710,0
Bahia,2900306,Acajutiba - BA,290030,1294,0
Ceará,2300150,Acarape - CE,230015,460,0
Ceará,2300200,Acaraú - CE,230020,461,0
Rio Grande do Norte,2400109,Acari - RN,240010,637,0
Pará,1500206,Acará - PA,150020,92,0
Piauí,2200053,Acauã - PI,22AMC9197024,436,0
Rio Grande do Sul,4300034,Aceguá - RS,,3843,1
Ceará,2300309,Acopiara - CE,230030,462,0
Mato Grosso,5100102,Acorizal - MT,510010,3978,0
Acre,1200013,Acrelândia - AC,12AMC9197004,23,0
Goías,5200134,Acreúna - GO,520013,4051,0
Sao Paulo,3500105,Adamantina - SP,350010,2563,0
Goías,5200159,Adelândia - GO,520015,4052,0
Sao Paulo,3500204,Adolfo - SP,350020,2564,0
Paraná,4100202,Adrianópolis - PR,410020,3133,0
Bahia,2900355,Adustina - BA,290035,1295,0
Pernambuco,2600104,Afogados da Ingazeira - PE,260010,958,0
Rio Grande do Norte,2400307,Afonso Bezerra - RN,240030,639,0
Espírito Santo,3200102,Afonso Cláudio - ES,32AMC9197001,2486,0
Maranhao,2100105,Afonso Cunha - MA,210010,257,0
Pernambuco,2600203,Afrânio - PE,260020,959,0
Pará,1500305,Afuá - PA,150030,93,0
Pernambuco,2600302,Agrestina - PE,260030,960,0
Piauí,2200103,Agricolândia - PI,22AMC9197043,455,0
Santa Catarina,4200200,Agrolândia - SC,420020,3449,0
Santa Catarina,4200309,Agronômica - SC,420030,3450,0
Minas Gerais,3100807,Aguanil - MG,310080,1713,0
Sao Paulo,3500303,Aguaí - SP,350030,2565,0
Rio Grande do Sul,4300109,Agudo - RS,430010,3649,0
Sao Paulo,3500709,Agudos - SP,35AMC9197002,3069,0
Paraná,4100301,Agudos do Sul - PR,410030,3134,0
Paraíba,2500205,Aguiar - PB,250020,790,0
Tocantins,1700301,Aguiarnópolis - TO,17AMC9197031,253,0
Minas Gerais,3101102,Aimorés - MG,310110,1714,0
Bahia,2900603,Aiquara - BA,290060,1298,0
Ceará,2300408,Aiuaba - CE,230040,463,0
Minas Gerais,3101201,Aiuruoca - MG,310120,1715,0
Rio Grande do Sul,4300208,Ajuricaba - RS,43AMC9197001,3837,0
Minas Gerais,3101300,Alagoa - MG,310130,1716,0
Paraíba,2500304,Alagoa Grande - PB,250030,791,0
Paraíba,2500403,Alagoa Nova - PB,25AMC9197001,918,0
Paraíba,2500502,Alagoinha - PB,250050,792,0
Pernambuco,2600609,Alagoinha - PE,260060,962,0
Piauí,2200251,Alagoinha do Piauí - PI,220025,375,0
Bahia,2900702,Alagoinhas - BA,290070,1299,0
Sao Paulo,3500758,Alambari - SP,35AMC9197026,3093,0
Minas Gerais,3101409,Albertina - MG,310140,1717,0
Paraíba,2500536,Alcantil - PB,25AMC9197006,923,0
Mato Grosso do Sul,5000252,Alcinópolis - MS,50AMC9197001,3973,0
Bahia,2900801,Alcobaça - BA,290080,1300,0
Maranhao,2100204,Alcântara - MA,210020,258,0
Ceará,2300507,Alcântaras - CE,230050,464,0
Maranhao,2100303,Aldeias Altas - MA,210030,259,0
Rio Grande do Sul,4300307,Alecrim - RS,43AMC9197053,3887,0
Espírito Santo,3200201,Alegre - ES,320020,2431,0
Rio Grande do Sul,4300406,Alegrete - RS,43AMC9197002,3838,0
Piauí,2200277,Alegrete do Piauí - PI,22AMC9197038,450,0
Rio Grande do Sul,4300455,Alegria - RS,430045,3650,0
Pará,1500404,Alenquer - PA,15AMC9197001,162,0
Rio Grande do Norte,2400505,Alexandria - RN,240050,641,0
Goías,5200308,Alexânia - GO,520030,4055,0
Minas Gerais,3101607,Alfenas - MG,310160,1719,0
Espírito Santo,3200300,Alfredo Chaves - ES,320030,2432,0
Sao Paulo,3500808,Alfredo Marcondes - SP,350080,2569,0
Minas Gerais,3101631,Alfredo Vasconcelos - MG,31AMC9197064,2406,0
Santa Catarina,4200705,Alfredo Wagner - SC,420070,3454,0
Paraíba,2500577,Algodão de Jandaíra - PB,25AMC9197025,942,0
Paraíba,2500601,Alhandra - PB,250060,793,0
Pernambuco,2600708,Aliança - PE,260070,963,0
Tocantins,1700350,Aliança do Tocantins - TO,17AMC9197001,223,0
Bahia,2900900,Almadina - BA,290090,1301,0
Tocantins,1700400,Almas - TO,170040,193,0
Pará,1500503,Almeirim - PA,150050,94,0
Minas Gerais,3101706,Almenara - MG,31AMC9197005,2347,0
Rio Grande do Norte,2400604,Almino Afonso - RN,240060,642,0
Paraná,4100400,Almirante Tamandaré - PR,41AMC9197001,3391,0
Goías,5200506,Aloândia - GO,520050,4056,0
Minas Gerais,3101805,Alpercata - MG,310180,1720,0
Rio Grande do Sul,4300505,Alpestre - RS,430050,3651,0
Minas Gerais,3101904,Alpinópolis - MG,31AMC9197006,2348,0
Mato Grosso,5100250,Alta Floresta - MT,51AMC9197013,4045,0
Rondônia,1100015,Alta Floresta D'Oeste - RO,11AMC9197002,10,0
Sao Paulo,3500907,Altair - SP,350090,2570,0
Pará,1500602,Altamira - PA,15AMC9197002,163,0
Maranhao,2100402,Altamira do Maranhão - MA,21AMC9197001,324,0
Paraná,4100459,Altamira do Paraná - PR,410045,3135,0
Ceará,2300606,Altaneira - CE,230060,465,0
Minas Gerais,3102001,Alterosa - MG,310200,1721,0
Pernambuco,2600807,Altinho - PE,260080,964,0
Sao Paulo,3501004,Altinópolis - SP,350100,2571,0
Roraima,1400050,Alto Alegre - RR,140005,87,0
Rio Grande do Sul,4300554,Alto Alegre - RS,430055,3652,0
Sao Paulo,3501103,Alto Alegre - SP,350110,2572,0
Maranhao,2100436,Alto Alegre do Maranhão - MA,21AMC9197013,336,0
Maranhao,2100477,Alto Alegre do Pindaré - MA,21AMC9197042,365,0
Rondônia,1100379,Alto Alegre dos Parecis - RO,11AMC9197002,10,0
Mato Grosso,5100300,Alto Araguaia - MT,510030,3980,0
Santa Catarina,4200754,Alto Bela Vista - SC,42AMC9197010,3612,0
Mato Grosso,5100359,Alto Boa Vista - MT,,3908,1
Minas Gerais,3102050,Alto Caparaó - MG,31AMC9197015,2357,0
Rio Grande do Sul,4300570,Alto Feliz - RS,43AMC9197017,3852,0
Mato Grosso,5100409,Alto Garças - MT,510040,3981,0
Goías,5200555,Alto Horizonte - GO,52AMC9197017,4248,0
Minas Gerais,3153509,Alto Jequitibá - MG,315350,2179,0
Piauí,2200301,Alto Longá - PI,22AMC9197001,413,0
Mato Grosso,5100508,Alto Paraguai - MT,510050,3982,0
Paraná,4100608,Alto Paraná - PR,410060,3137,0
Paraná,4128625,Alto Paraíso - PR,41AMC9197057,3447,0
Rondônia,1100403,Alto Paraíso - RO,11AMC9197006,14,0
Goías,5200605,Alto Paraíso de Goiás - GO,520060,4057,0
Maranhao,2100501,Alto Parnaíba - MA,210050,260,0
Paraná,4100707,Alto Piquiri - PR,41AMC9197002,3392,0
Minas Gerais,3102100,Alto Rio Doce - MG,310210,1722,0
Espírito Santo,3200359,Alto Rio Novo - ES,320035,2433,0
Ceará,2300705,Alto Santo - CE,230070,466,0
Mato Grosso,5100607,Alto Taquari - MT,510060,3983,0
Rio Grande do Norte,2400703,Alto do Rodrigues - RN,240070,643,0
Piauí,2200400,Altos - PI,22AMC9197002,414,0
Paraná,4100509,Altônia - PR,410050,3136,0
Sao Paulo,3501152,Alumínio - SP,35AMC9197035,3102,0
Minas Gerais,3102209,Alvarenga - MG,310220,1723,0
Amazonas,1300029,Alvarães - AM,130002,25,0
Sao Paulo,3501509,Alvinlândia - SP,350150,2576,0
Minas Gerais,3102308,Alvinópolis - MG,310230,1724,0
Rio Grande do Sul,4300604,Alvorada - RS,430060,3653,0
Tocantins,1700707,Alvorada - TO,17AMC9197023,245,0
Rondônia,1100346,Alvorada D'Oeste - RO,11AMC9197005,13,0
Minas Gerais,3102407,Alvorada de Minas - MG,310240,1725,0
Piauí,2200459,Alvorada do Gurguéia - PI,22AMC9197010,422,0
Goías,5200803,Alvorada do Norte - GO,520080,4058,0
Paraná,4100806,Alvorada do Sul - PR,410080,3138,0
Minas Gerais,3101508,Além Paraíba - MG,310150,1718,0
Roraima,1400027,Amajari - RR,14AMC9197001,88,0
Mato Grosso do Sul,5000609,Amambai - MS,500060,3910,0
Paraná,4100905,Amaporã - PR,410090,3139,0
Amapá,1600105,Amapá - AP,16AMC9197001,190,0
Maranhao,2100550,Amapá do Maranhão - MA,21AMC9197010,333,0
Pernambuco,2600906,Amaraji - PE,260090,965,0
Rio Grande do Sul,4300638,Amaral Ferrador - RS,430063,3654,0
Goías,5200829,Amaralina - GO,52AMC9197017,4248,0
Piauí,2200509,Amarante - PI,220050,376,0
Maranhao,2100600,Amarante do Maranhão - MA,210060,261,0
Bahia,2901007,Amargosa - BA,290100,1302,0
Amazonas,1300060,Amaturá - AM,130006,26,0
Sao Paulo,3501608,Americana - SP,350160,2577,0
Goías,5200852,Americano do Brasil - GO,520085,4059,0
Rio Grande do Sul,4300646,Ametista do Sul - RS,43AMC9197039,3873,0
Ceará,2300754,Amontada - CE,230075,467,0
Goías,5200902,Amorinópolis - GO,520090,4060,0
Paraíba,2500734,Amparo - PB,25AMC9197034,951,0
Sao Paulo,3501905,Amparo - SP,350190,2580,0
Sergipe,2800100,Amparo de São Francisco - SE,280010,1218,0
Minas Gerais,3102506,Amparo do Serra - MG,310250,1726,0
Paraná,4101002,Ampére - PR,410100,3140,0
Bahia,2901106,Amélia Rodrigues - BA,290110,1303,0
Bahia,2901155,América Dourada - BA,290115,1304,0
Sao Paulo,3501707,Américo Brasiliense - SP,350170,2578,0
Sao Paulo,3501806,Américo de Campos - SP,350180,2579,0
Alagoas,2700201,Anadia - AL,270020,1125,0
Bahia,2901205,Anagé - BA,290120,1305,0
Paraná,4101051,Anahy - PR,41AMC9197012,3402,0
Maranhao,2100709,Anajatuba - MA,210070,262,0
Pará,1500701,Anajás - PA,150070,95,0
Sao Paulo,3502002,Analândia - SP,350200,2581,0
Amazonas,1300086,Anamã - AM,130008,27,0
Pará,1500800,Ananindeua - PA,150080,96,0
Tocantins,1701002,Ananás - TO,17AMC9197002,224,0
Pará,1500859,Anapu - PA,15AMC9197002,163,0
Maranhao,2100808,Anapurus - MA,210080,263,0
Mato Grosso do Sul,5000708,Anastácio - MS,500070,3911,0
Mato Grosso do Sul,5000807,Anaurilândia - MS,500080,3912,0
Espírito Santo,3200409,Anchieta - ES,320040,2434,0
Santa Catarina,4200804,Anchieta - SC,42AMC9197033,3635,0
Bahia,2901304,Andaraí - BA,290130,1306,0
Paraná,4101101,Andirá - PR,410110,3141,0
Bahia,2901353,Andorinha - BA,290135,1307,0
Minas Gerais,3102605,Andradas - MG,310260,1727,0
Sao Paulo,3502101,Andradina - SP,350210,2582,0
Minas Gerais,3102803,Andrelândia - MG,310280,1729,0
Rio Grande do Sul,4300661,André da Rocha - RS,430066,3655,0
Sao Paulo,3502200,Angatuba - SP,35AMC9197003,3070,0
Pernambuco,2601003,Angelim - PE,260100,966,0
Santa Catarina,4200903,Angelina - SC,420090,3455,0
Minas Gerais,3102852,Angelândia - MG,31AMC9197016,2358,0
Bahia,2901403,Angical - BA,290140,1308,0
Piauí,2200608,Angical do Piauí - PI,220060,377,0
Tocantins,1701051,Angico - TO,17AMC9197031,253,0
Rio Grande do Norte,2400802,Angicos - RN,24AMC9197001,775,0
Rio de Janeiro,3300100,Angra dos Reis - RJ,330010,2495,0
Bahia,2901502,Anguera - BA,290150,1309,0
Mato Grosso do Sul,5000856,Angélica - MS,500085,3913,0
Goías,5201207,Anhanguera - GO,520120,4062,0
Sao Paulo,3502309,Anhembi - SP,350230,2583,0
Sao Paulo,3502408,Anhumas - SP,350240,2584,0
Goías,5201306,Anicuns - GO,520130,4063,0
Santa Catarina,4201000,Anita Garibaldi - SC,42AMC9197004,3606,0
Santa Catarina,4201109,Anitápolis - SC,420110,3456,0
Amazonas,1300102,Anori - AM,130010,28,0
Rio Grande do Sul,4300703,Anta Gorda - RS,43AMC9197022,3857,0
Bahia,2901601,Antas - BA,290160,1310,0
Paraná,4101200,Antonina - PR,410120,3142,0
Ceará,2300804,Antonina do Norte - CE,230080,468,0
Piauí,2200806,Antônio Almeida - PI,22AMC9197016,428,0
Bahia,2901700,Antônio Cardoso - BA,290170,1311,0
Minas Gerais,3102902,Antônio Carlos - MG,310290,1730,0
Santa Catarina,4201208,Antônio Carlos - SC,420120,3457,0
Minas Gerais,3103009,Antônio Dias - MG,310300,1731,0
Bahia,2901809,Antônio Gonçalves - BA,290180,1312,0
Mato Grosso do Sul,5000906,Antônio João - MS,500090,3914,0
Rio Grande do Norte,2400901,Antônio Martins - RN,240090,644,0
Paraná,4101309,Antônio Olinto - PR,410130,3143,0
Rio Grande do Sul,4300802,Antônio Prado - RS,430080,3656,0
Minas Gerais,3103108,Antônio Prado de Minas - MG,310310,1732,0
Goías,5201108,Anápolis - GO,,4061,1
Piauí,2200707,Anísio de Abreu - PI,22AMC9197040,452,0
Paraíba,2500775,Aparecida - PB,25AMC9197033,950,0
Sao Paulo,3502507,Aparecida - SP,350250,2585,0
Sao Paulo,3502606,Aparecida d'Oeste - SP,350260,2586,0
Goías,5201405,Aparecida de Goiânia - GO,520140,4064,0
Goías,5201454,Aparecida do Rio Doce - GO,52AMC9197014,4245,0
Tocantins,1701101,Aparecida do Rio Negro - TO,170110,194,0
Mato Grosso do Sul,5001003,Aparecida do Taboado - MS,500100,3915,0
Rio de Janeiro,3300159,Aperibé - RJ,33AMC9197015,2559,0
Espírito Santo,3200508,Apiacá - ES,320050,2435,0
Mato Grosso,5100805,Apiacás - MT,51AMC9197013,4045,0
Sao Paulo,3502705,Apiaí - SP,35AMC9197004,3071,0
Maranhao,2100832,Apicum-Açu - MA,21AMC9197003,326,0
Santa Catarina,4201257,Apiúna - SC,420125,3458,0
Rio Grande do Norte,2401008,Apodi - RN,240100,645,0
Bahia,2901908,Aporá - BA,290190,1313,0
Goías,5201504,Aporé - GO,52AMC9197001,4232,0
Bahia,2901957,Apuarema - BA,290195,1314,0
Paraná,4101408,Apucarana - PR,410140,3144,0
Ceará,2300903,Apuiarés - CE,230090,469,0
Amazonas,1300144,Apuí - AM,130014,29,0
Sergipe,2800209,Aquidabã - SE,280020,1219,0
Mato Grosso do Sul,5001102,Aquidauana - MS,500110,3916,0
Ceará,2301000,Aquiraz - CE,230100,470,0
Santa Catarina,4201273,Arabutã - SC,42AMC9197010,3612,0
Sergipe,2800308,Aracaju - SE,280030,1220,0
Ceará,2301109,Aracati - CE,23AMC9197001,631,0
Bahia,2902005,Aracatu - BA,290200,1315,0
Bahia,2902104,Araci - BA,290210,1317,0
Minas Gerais,3103306,Aracitaba - MG,310330,1734,0
Ceará,2301208,Aracoiaba - CE,230120,471,0
Espírito Santo,3200607,Aracruz - ES,320060,2436,0
Goías,5201702,Aragarças - GO,520170,4066,0
Goías,5201801,Aragoiânia - GO,52AMC9197009,4240,0
Tocantins,1701309,Aragominas - TO,17AMC9197005,227,0
Tocantins,1701903,Araguacema - TO,17AMC9197003,225,0
Mato Grosso,5101001,Araguaiana - MT,510100,3984,0
Mato Grosso,5101209,Araguainha - MT,510120,3985,0
Maranhao,2100873,Araguanã - MA,21AMC9197051,374,0
Tocantins,1702158,Araguanã - TO,17AMC9197005,227,0
Goías,5202155,Araguapaz - GO,520215,4067,0
Minas Gerais,3103504,Araguari - MG,310350,1736,0
Tocantins,1702208,Araguatins - TO,17AMC9197031,253,0
Tocantins,1702000,Araguaçu - TO,17AMC9197004,226,0
Tocantins,1702109,Araguaína - TO,17AMC9197005,227,0
Maranhao,2100907,Araioses - MA,21AMC9197002,325,0
Mato Grosso do Sul,5001243,Aral Moreira - MS,500124,3917,0
Bahia,2902203,Aramari - BA,290220,1318,0
Rio Grande do Sul,4300851,Arambaré - RS,43AMC9197056,3890,0
Maranhao,2100956,Arame - MA,210095,264,0
Sao Paulo,3503000,Aramina - SP,350300,2588,0
Sao Paulo,3503109,Arandu - SP,350310,2589,0
Minas Gerais,3103603,Arantina - MG,310360,1737,0
Sao Paulo,3503158,Arapeí - SP,35AMC9197008,3075,0
Alagoas,2700300,Arapiraca - AL,270030,1126,0
Tocantins,1702307,Arapoema - TO,17AMC9197006,228,0
Minas Gerais,3103702,Araponga - MG,310370,1738,0
Paraná,4101507,Arapongas - PR,410150,3145,0
Minas Gerais,3103751,Araporã - MG,31AMC9197081,2423,0
Paraná,4101606,Arapoti - PR,410160,3146,0
Mato Grosso,5101258,Araputanga - MT,510125,3986,0
Minas Gerais,3103801,Arapuá - MG,310380,1739,0
Paraná,4101655,Arapuã - PR,41AMC9197024,3414,0
Santa Catarina,4201307,Araquari - SC,42AMC9197028,3630,0
Paraíba,2500908,Arara - PB,250090,795,0
Santa Catarina,4201406,Araranguá - SC,42AMC9197001,3603,0
Sao Paulo,3503208,Araraquara - SP,35AMC9197006,3073,0
Sao Paulo,3503307,Araras - SP,350330,2590,0
Ceará,2301257,Ararendá - CE,23AMC9197003,633,0
Maranhao,2101004,Arari - MA,210100,265,0
Rio Grande do Sul,4300877,Araricá - RS,43AMC9197060,3894,0
Ceará,2301307,Araripe - CE,230130,472,0
Pernambuco,2601102,Araripina - PE,260110,967,0
Rio de Janeiro,3300209,Araruama - RJ,330020,2496,0
Paraíba,2501005,Araruna - PB,25AMC9197003,920,0
Paraná,4101705,Araruna - PR,410170,3147,0
Bahia,2902252,Arataca - BA,290225,1319,0
Rio Grande do Sul,4300901,Aratiba - RS,43AMC9197003,3839,0
Ceará,2301406,Aratuba - CE,230140,473,0
Bahia,2902302,Aratuípe - BA,290230,1320,0
Paraná,4101804,Araucária - PR,410180,3148,0
Sergipe,2800407,Arauá - SE,280040,1221,0
Minas Gerais,3104007,Araxá - MG,310400,1741,0
Paraíba,2500809,Araçagi - PB,250080,794,0
Sao Paulo,3502754,Araçariguama - SP,35AMC9197052,3119,0
Bahia,2902054,Araças - BA,290205,1316,0
Sao Paulo,3502804,Araçatuba - SP,35AMC9197005,3072,0
Minas Gerais,3103207,Araçaí - MG,310320,1733,0
Pernambuco,2601052,Araçoiaba - PE,26AMC9197005,1114,0
Sao Paulo,3502903,Araçoiaba da Serra - SP,350290,2587,0
Goías,5201603,Araçu - GO,520160,4065,0
Minas Gerais,3103405,Araçuaí - MG,310340,1735,0
Minas Gerais,3103900,Araújos - MG,310390,1740,0
Minas Gerais,3104106,Arceburgo - MG,310410,1742,0
Sao Paulo,3503356,Arco-Íris - SP,35AMC9197059,3126,0
Minas Gerais,3104205,Arcos - MG,310420,1743,0
Pernambuco,2601201,Arcoverde - PE,260120,968,0
Minas Gerais,3104304,Areado - MG,310430,1744,0
Rio de Janeiro,3300225,Areal - RJ,33AMC9197018,2562,0
Sao Paulo,3503406,Arealva - SP,350340,2591,0
Paraíba,2501104,Areia - PB,250110,796,0
Rio Grande do Norte,2401107,Areia Branca - RN,240110,646,0
Sergipe,2800506,Areia Branca - SE,280050,1222,0
Paraíba,2501153,Areia de Baraúnas - PB,25AMC9197020,937,0
Paraíba,2501203,Areial - PB,250120,797,0
Sao Paulo,3503505,Areias - SP,350350,2592,0
Sao Paulo,3503604,Areiópolis - SP,350360,2593,0
Mato Grosso,5101308,Arenápolis - MT,51AMC9197001,4033,0
Goías,5202353,Arenópolis - GO,520235,4068,0
Minas Gerais,3104403,Argirita - MG,310440,1745,0
Minas Gerais,3104452,Aricanduva - MG,31AMC9197036,2378,0
Minas Gerais,3104502,Arinos - MG,310450,1746,0
Mato Grosso,5101407,Aripuanã - MT,,3987,1
Rondônia,1100023,Ariquemes - RO,11AMC9197006,14,0
Sao Paulo,3503703,Ariranha - SP,350370,2594,0
Paraná,4101853,Ariranha do Ivaí - PR,41AMC9197024,3414,0
Santa Catarina,4201505,Armazém - SC,420150,3459,0
Rio de Janeiro,3300233,Armação dos Búzios - RJ,33AMC9197002,2546,0
Ceará,2301505,Arneiroz - CE,230150,474,0
Piauí,2200905,Aroazes - PI,22AMC9197003,415,0
Paraíba,2501302,Aroeiras - PB,25AMC9197004,921,0
Piauí,2200954,Aroeiras do Itaim - PI,,437,1
Piauí,2201002,Arraial - PI,22AMC9197021,433,0
Rio de Janeiro,3300258,Arraial do Cabo - RJ,330025,2497,0
Tocantins,1702406,Arraias - TO,17AMC9197007,229,0
Rio Grande do Sul,4301305,Arroio Grande - RS,430130,3659,0
Santa Catarina,4201604,Arroio Trinta - SC,420160,3460,0
Rio Grande do Sul,4301008,Arroio do Meio - RS,,4259,1
Rio Grande do Sul,4301073,Arroio do Padre - RS,,3877,1
Rio Grande do Sul,4301057,Arroio do Sal - RS,430105,3657,0
Rio Grande do Sul,4301206,Arroio do Tigre - RS,43AMC9197005,3840,0
Rio Grande do Sul,4301107,Arroio dos Ratos - RS,430110,3658,0
Sao Paulo,3503802,Artur Nogueira - SP,35AMC9197017,3084,0
Goías,5202502,Aruanã - GO,520250,4069,0
Sao Paulo,3503901,Arujá - SP,350390,2595,0
Santa Catarina,4201653,Arvoredo - SC,42AMC9197034,3636,0
Rio Grande do Sul,4301404,Arvorezinha - RS,43AMC9197006,3841,0
Rio Grande do Norte,2401206,Arês - RN,240120,647,0
Santa Catarina,4201703,Ascurra - SC,420170,3461,0
Sao Paulo,3503950,Aspásia - SP,35AMC9197061,3128,0
Ceará,2301604,Assaré - CE,230160,475,0
Paraná,4101903,Assaí - PR,410190,3149,0
Sao Paulo,3504008,Assis - SP,35AMC9197007,3074,0
Acre,1200054,Assis Brasil - AC,120005,17,0
Paraná,4102000,Assis Chateaubriand - PR,410200,3150,0
Paraíba,2501351,Assunção - PB,25AMC9197035,952,0
Piauí,2201051,Assunção do Piauí - PI,22AMC9197039,451,0
Minas Gerais,3104601,Astolfo Dutra - MG,310460,1747,0
Paraná,4102109,Astorga - PR,410210,3151,0
Alagoas,2700409,Atalaia - AL,270040,1127,0
Paraná,4102208,Atalaia - PR,410220,3152,0
Amazonas,1300201,Atalaia do Norte - AM,130020,30,0
Santa Catarina,4201802,Atalanta - SC,420180,3462,0
Minas Gerais,3104700,Ataléia - MG,310470,1748,0
Sao Paulo,3504107,Atibaia - SP,350410,2596,0
Espírito Santo,3200706,Atilio Vivacqua - ES,320070,2437,0
Tocantins,1702554,Augustinópolis - TO,170255,195,0
Pará,1500909,Augusto Corrêa - PA,150090,97,0
Rio Grande do Sul,4301503,Augusto Pestana - RS,,3864,1
Rio Grande do Norte,2401305,Augusto Severo - RN,24AMC9197002,776,0
Minas Gerais,3104809,Augusto de Lima - MG,310480,1749,0
Bahia,2902401,Aurelino Leal - BA,290240,1321,0
Sao Paulo,3504206,Auriflama - SP,350420,2597,0
Goías,5202601,Aurilândia - GO,520260,4070,0
Ceará,2301703,Aurora - CE,230170,476,0
Santa Catarina,4201901,Aurora - SC,420190,3463,0
Pará,1500958,Aurora do Pará - PA,15AMC9197020,181,0
Tocantins,1702703,Aurora do Tocantins - TO,17AMC9197008,230,0
Amazonas,1300300,Autazes - AM,130030,31,0
Sao Paulo,3504404,Avanhandava - SP,350440,2599,0
Sao Paulo,3504503,Avaré - SP,350450,2600,0
Sao Paulo,3504305,Avaí - SP,350430,2598,0
Pará,1501006,Aveiro - PA,150100,98,0
Piauí,2201101,Avelino Lopes - PI,22AMC9197011,423,0
Goías,5202809,Avelinópolis - GO,520280,4071,0
Maranhao,2101103,Axixá - MA,210110,266,0
Tocantins,1702901,Axixá do Tocantins - TO,170290,196,0
Maranhao,2100055,Açailândia - MA,21AMC9197022,345,0
Rio Grande do Norte,2400208,Açu - RN,240020,638,0
Minas Gerais,3100500,Açucena - MG,31AMC9197002,2344,0
Tocantins,1703008,Babaçulândia - TO,170300,197,0
Maranhao,2101202,Bacabal - MA,21AMC9197013,336,0
Maranhao,2101251,Bacabeira - MA,21AMC9197041,364,0
Maranhao,2101301,Bacuri - MA,21AMC9197003,326,0
Maranhao,2101350,Bacurituba - MA,21AMC9197008,331,0
Sao Paulo,3504602,Bady Bassitt - SP,350460,2601,0
Minas Gerais,3104908,Baependi - MG,310490,1750,0
Pará,1501105,Bagre - PA,150110,99,0
Rio Grande do Sul,4301602,Bagé - RS,,3843,1
Bahia,2902500,Baianópolis - BA,290250,1322,0
Bahia,2902609,Baixa Grande - BA,290260,1323,0
Piauí,2201150,Baixa Grande do Ribeiro - PI,22AMC9197029,441,0
Ceará,2301802,Baixio - CE,230180,477,0
Espírito Santo,3200805,Baixo Guandu - ES,320080,2438,0
Pará,1501204,Baião - PA,150120,100,0
Sao Paulo,3504701,Balbinos - SP,350470,2602,0
Minas Gerais,3105004,Baldim - MG,310500,1751,0
Goías,5203104,Baliza - GO,520310,4072,0
Santa Catarina,4201950,Balneário Arroio do Silva - SC,42AMC9197001,3603,0
Santa Catarina,4202057,Balneário Barra do Sul - SC,42AMC9197028,3630,0
Santa Catarina,4202008,Balneário Camboriú - SC,420200,3464,0
Santa Catarina,4202073,Balneário Gaivota - SC,42AMC9197036,3638,0
Rio Grande do Sul,4301636,Balneário Pinhal - RS,43AMC9197038,3872,0
Santa Catarina,4212809,Balneário Piçarras - SC,421280,3554,0
Paraná,4102307,Balsa Nova - PR,410230,3153,0
Maranhao,2101400,Balsas - MA,210140,267,0
Minas Gerais,3105103,Bambuí - MG,310510,1752,0
Ceará,2301851,Banabuiú - CE,230185,478,0
Sao Paulo,3504909,Bananal - SP,35AMC9197008,3075,0
Paraíba,2501500,Bananeiras - PB,250150,799,0
Minas Gerais,3105202,Bandeira - MG,310520,1753,0
Minas Gerais,3105301,Bandeira do Sul - MG,310530,1754,0
Santa Catarina,4202081,Bandeirante - SC,42AMC9197033,3635,0
Mato Grosso do Sul,5001508,Bandeirantes - MS,500150,3918,0
Paraná,4102406,Bandeirantes - PR,410240,3154,0
Tocantins,1703057,Bandeirantes do Tocantins - TO,17AMC9197006,228,0
Pará,1501253,Bannach - PA,15AMC9197013,174,0
Bahia,2902658,Banzaê - BA,290265,1324,0
Paraíba,2501534,Baraúna - PB,25AMC9197021,938,0
Rio Grande do Norte,2401453,Baraúna - RN,240145,649,0
Minas Gerais,3105608,Barbacena - MG,310560,1757,0
Ceará,2301901,Barbalha - CE,230190,479,0
Sao Paulo,3505104,Barbosa - SP,350510,2605,0
Paraná,4102505,Barbosa Ferraz - PR,410250,3155,0
Pará,1501303,Barcarena - PA,150130,101,0
Rio Grande do Norte,2401503,Barcelona - RN,240150,650,0
Amazonas,1300409,Barcelos - AM,130040,32,0
Sao Paulo,3505203,Bariri - SP,350520,2606,0
Bahia,2902708,Barra - BA,290270,1325,0
Santa Catarina,4202099,Barra Bonita - SC,42AMC9197033,3635,0
Sao Paulo,3505302,Barra Bonita - SP,350530,2607,0
Piauí,2201176,Barra D'Alcântara - PI,22AMC9197043,455,0
Rio Grande do Sul,4301958,Barra Funda - RS,43AMC9197041,3875,0
