Coluna;CBO Ocupação 2002
Município;PRODUTOR DA CULTURA DE DENDE;PRODUTOR DA CULTURA DE GIRASSOL;PRODUTOR DA CULTURA DE MAMONA;PRODUTOR DA CULTURA DE SOJA;TRABALHADOR NA CULTURA DE DENDE;TRABALHADOR NA CULTURA DE MAMONA;TRABALHADOR NA CULTURA DE SOJA;TRABALHADOR NA CULTURA DO GIRASSOL;Total
AM-CAREIRO DA VARZEA;0;0;0;0;0;0;0;0;0
AM-COARI;0;0;0;0;0;0;0;0;0
AM-CODAJAS;0;0;0;0;0;0;0;0;0
AM-EIRUNEPE;0;0;0;0;0;0;0;0;0
AM-ENVIRA;0;0;0;0;0;0;0;0;0
AM-FONTE BOA;0;0;0;0;0;0;0;0;0
AM-GUAJARA;0;0;0;0;0;0;0;0;0
AM-HUMAITA;0;0;0;0;0;0;0;0;0
AM-IPIXUNA;0;0;0;0;0;0;0;0;0
AM-IRANDUBA;0;0;0;0;0;0;0;0;0
AM-ITACOATIARA;0;0;0;0;0;0;1717,60000000009;0;1717,60000000009
AM-ITAMARATI;0;0;0;0;0;0;0;0;0
AM-ITAPIRANGA;0;0;0;0;0;0;0;0;0
AM-JAPURA;0;0;0;0;0;0;0;0;0
AM-JURUA;0;0;0;0;0;0;0;0;0
AM-JUTAI;0;0;0;0;0;0;0;0;0
AM-LABREA;0;0;0;0;0;0;0;0;0
AM-MANACAPURU;0;0;0;0;0;0;0;0;0
AM-MANAQUIRI;0;0;0;0;0;0;0;0;0
AM-MANAUS;0;0;0;0;0;0;0;692,269999999553;692,269999999553
AM-MANICORE;0;0;0;0;0;0;0;0;0
AM-MARAA;0;0;0;0;0;0;0;0;0
AM-MAUES;0;0;0;0;0;0;0;0;0
AM-NHAMUNDA;0;0;0;0;0;0;0;0;0
AM-NOVA OLINDA DO NORTE;0;0;0;0;0;0;0;0;0
AM-NOVO AIRAO;0;0;0;0;0;0;0;0;0
AM-NOVO ARIPUANA;0;0;0;0;0;0;0;0;0
AM-PARINTINS;0;0;0;0;0;0;0;0;0
AM-PAUINI;0;0;0;0;0;0;0;0;0
AM-PRESIDENTE FIGUEIREDO;0;0;0;0;0;0;0;0;0
AM-RIO PRETO DA EVA;0;0;0;0;0;0;0;0;0
AM-SANTA ISABEL DO RIO NEGRO;0;0;0;0;0;0;0;0;0
AM-SANTO ANTONIO DO ICA;0;0;0;0;0;0;0;0;0
AM-SAO GABRIEL DA CACHOEIRA;0;0;0;0;0;0;0;0;0
AM-SAO PAULO DE OLIVENCA;0;0;0;0;0;0;0;0;0
AM-SAO SEBASTIAO DO UATUMA;0;0;0;0;0;0;0;0;0
AM-SILVES;0;0;0;0;0;0;0;0;0
AM-TABATINGA;0;0;0;0;0;0;0;0;0
AM-TAPAUA;0;0;0;0;0;0;0;0;0
AM-TEFE;0;0;0;0;0;0;0;0;0
AM-TONANTINS;0;0;0;0;0;0;0;0;0
AM-UARINI;0;0;0;0;0;0;0;0;0
AM-URUCARA;0;0;0;0;0;0;0;0;0
AM-URUCURITUBA;0;0;0;0;0;0;0;0;0
AM-IGNORADO;0;0;0;0;0;0;0;0;0
RR-AMAJARI;0;0;0;0;0;0;0;0;0
RR-ALTO ALEGRE;0;0;0;0;0;0;0;0;0
RR-BOA VISTA;0;0;0;0;0;0;900;0;900
RR-BONFIM;0;0;0;0;0;0;0;0;0
RR-CANTA;0;0;0;0;0;0;0;0;0
RR-CARACARAI;0;0;0;0;0;0;0;0;0
RR-CAROEBE;0;0;0;0;0;0;0;0;0
RR-IRACEMA;0;0;0;0;0;0;0;0;0
RR-MUCAJAI;0;0;0;0;0;0;0;0;0
RR-NORMANDIA;0;0;0;0;0;0;0;0;0
RR-PACARAIMA;0;0;0;0;0;0;0;0;0
RR-RORAINOPOLIS;0;0;0;0;0;0;0;0;0
RR-SAO JOAO DA BALIZA;0;0;0;0;0;0;0;0;0
RR-SAO LUIZ;0;0;0;0;0;0;0;0;0
RR-UIRAMUTA;0;0;0;0;0;0;0;0;0
RR-IGNORADO;0;0;0;0;0;0;0;0;0
PA-ABAETETUBA;0;0;0;0;0;0;0;0;0
PA-ABEL FIGUEIREDO;0;0;0;0;0;0;0;0;0
PA-ACARA;0;0;0;0;82655,9000000018;0;0;0;82655,9000000018
PA-AFUA;0;0;0;0;0;0;0;0;0
PA-AGUA AZUL DO NORTE;0;0;0;0;0;0;0;0;0
PA-ALENQUER;0;0;0;0;0;0;0;0;0
PA-ALMEIRIM;0;0;0;0;0;0;0;0;0
PA-ALTAMIRA;0;0;0;0;0;0;0;0;0
PA-ANAJAS;0;0;0;0;0;0;0;0;0
PA-ANANINDEUA;0;0;0;0;0;0;0;0;0
PA-ANAPU;0;0;0;0;0;0;0;0;0
PA-AUGUSTO CORREA;0;0;0;0;0;0;0;0;0
PA-AURORA DO PARA;0;0;0;0;0;0;0;0;0
PA-AVEIRO;0;0;0;0;0;0;0;0;0
PA-BAGRE;0;0;0;0;0;0;0;0;0
PA-BAIAO;0;0;0;0;0;0;0;0;0
PA-BANNACH;0;0;0;0;0;0;0;0;0
PA-BARCARENA;0;0;0;0;0;0;0;0;0
PA-BELEM;0;0;0;0;173465,41;0;0;0;173465,41
PA-BELTERRA;0;0;0;0;0;0;0;0;0
PA-BENEVIDES;0;0;0;0;0;0;0;0;0
PA-BOM JESUS DO TOCANTINS;0;0;0;0;0;0;0;0;0
PA-BONITO;0;0;0;0;0;0;0;0;0
PA-BRAGANCA;0;0;0;0;0;0;0;0;0
PA-BRASIL NOVO;0;0;0;0;0;0;0;0;0
PA-BREJO GRANDE DO ARAGUAIA;0;0;0;0;0;0;0;0;0
PA-BREU BRANCO;0;0;0;0;0;0;0;0;0
PA-BREVES;0;0;0;0;0;0;0;0;0
PA-BUJARU;0;0;0;0;0;0;0;0;0
PA-CACHOEIRA DO PIRIA;0;0;0;0;0;0;0;0;0
PA-CACHOEIRA DO ARARI;0;0;0;0;0;0;0;0;0
PA-CAMETA;0;0;0;0;0;0;0;0;0
PA-CANAA DOS CARAJAS;0;0;0;0;0;0;0;0;0
PA-CAPANEMA;0;0;0;0;0;0;0;0;0
PA-CAPITAO POCO;0;0;0;0;0;0;0;0;0
PA-CASTANHAL;0;0;0;0;3790,10000000056;0;0;0;3790,10000000056
PA-CHAVES;0;0;0;0;0;0;0;0;0
PA-COLARES;0;0;0;0;0;0;0;0;0
PA-CONCEICAO DO ARAGUAIA;0;0;0;0;0;0;0;0;0
PA-CONCORDIA DO PARA;0;0;0;0;0;0;0;0;0
PA-CUMARU DO NORTE;0;0;0;0;0;0;0;0;0
PA-CURIONOPOLIS;0;0;0;0;0;0;0;0;0
PA-CURRALINHO;0;0;0;0;0;0;0;0;0
PA-CURUA;0;0;0;0;0;0;0;0;0
PA-CURUCA;0;0;0;0;0;0;0;0;0
PA-DOM ELISEU;0;0;0;0;0;0;0;0;0
PA-ELDORADO DO CARAJAS;0;0;0;0;0;0;0;0;0
PA-FARO;0;0;0;0;0;0;0;0;0
PA-FLORESTA DO ARAGUAIA;0;0;0;0;0;0;0;0;0
PA-GARRAFAO DO NORTE;0;0;0;0;0;0;0;0;0
PA-GOIANESIA DO PARA;0;0;0;0;0;0;0;0;0
PA-GURUPA;0;0;0;0;0;0;0;0;0
PA-IGARAPE-ACU;0;0;0;0;96855,7000000267;0;0;0;96855,7000000267
PA-IGARAPE-MIRI;0;0;0;0;0;0;0;0;0
PA-INHANGAPI;0;0;0;0;0;0;0;0;0
PA-IPIXUNA DO PARA;0;0;0;0;0;0;0;0;0
PA-IRITUIA;0;0;0;0;0;0;0;0;0
PA-ITAITUBA;0;0;0;0;0;0;0;0;0
PA-ITUPIRANGA;0;0;0;0;0;0;0;0;0
PA-JACAREACANGA;0;0;0;0;0;0;0;0;0
PA-JACUNDA;0;0;0;0;0;0;0;0;0
PA-JURUTI;0;0;0;0;0;0;0;0;0
PA-LIMOEIRO DO AJURU;0;0;0;0;0;0;0;0;0
PA-MAE DO RIO;0;0;0;0;0;0;0;0;0
PA-MAGALHAES BARATA;0;0;0;0;0;0;0;0;0
PA-MARABA;0;0;0;0;0;0;0;0;0
PA-MARACANA;0;0;0;0;0;0;0;0;0
PA-MARAPANIM;0;0;0;0;0;0;0;0;0
PA-MARITUBA;0;0;0;0;0;0;0;0;0
PA-MEDICILANDIA;0;0;0;0;0;0;0;0;0
PA-MELGACO;0;0;0;0;0;0;0;0;0
PA-MOCAJUBA;0;0;0;0;0;0;0;0;0
PA-MOJU;0;0;0;0;311958,749999999;0;0;0;311958,749999999
PA-MOJUI DOS CAMPOS;0;0;0;0;0;0;0;0;0
PA-MONTE ALEGRE;0;0;0;0;0;0;0;0;0
PA-MUANA;0;0;0;0;0;0;0;0;0
PA-NOVA ESPERANCA DO PIRIA;0;0;0;0;0;0;0;0;0
PA-NOVA IPIXUNA;0;0;0;0;0;0;0;0;0
PA-NOVA TIMBOTEUA;0;0;0;0;0;0;0;0;0
PA-NOVO PROGRESSO;0;0;0;0;0;0;1385,26999999955;0;1385,26999999955
PA-NOVO REPARTIMENTO;0;0;0;0;0;0;0;0;0
PA-OBIDOS;0;0;0;0;0;0;0;0;0
PA-OEIRAS DO PARA;0;0;0;0;0;0;0;0;0
PA-ORIXIMINA;0;0;0;0;0;0;0;0;0
PA-OUREM;0;0;0;0;0;0;0;0;0
PA-OURILANDIA DO NORTE;0;0;0;0;0;0;0;0;0
PA-PACAJA;0;0;0;0;0;0;0;0;0
PA-PALESTINA DO PARA;0;0;0;0;0;0;0;0;0
PA-PARAGOMINAS;0;0;0;0;0;0;1189,52000000048;0;1189,52000000048
PA-PARAUAPEBAS;0;0;0;0;0;0;0;0;0
PA-PAU D ARCO;0;0;0;0;0;0;905,759999999776;0;905,759999999776
PA-PEIXE-BOI;0;0;0;0;0;0;0;0;0
PA-PICARRA;0;0;0;0;0;0;0;0;0
PA-PLACAS;0;0;0;0;0;0;0;0;0
PA-PONTA DE PEDRAS;0;0;0;0;0;0;0;0;0
PA-PORTEL;0;0;0;0;0;0;0;0;0
PA-PORTO DE MOZ;0;0;0;0;0;0;0;0;0
PA-PRAINHA;0;0;0;0;0;0;0;0;0
PA-PRIMAVERA;0;0;0;0;0;0;0;0;0
PA-QUATIPURU;0;0;0;0;0;0;0;0;0
PA-REDENCAO;0;0;0;0;0;0;0;0;0
PA-RIO MARIA;0;0;0;0;0;0;0;0;0
PA-RONDON DO PARA;0;0;0;0;0;0;0;0;0
PA-RUROPOLIS;0;0;0;0;0;0;0;0;0
PA-SALINOPOLIS;0;0;0;0;0;0;0;0;0
PA-SALVATERRA;0;0;0;0;0;0;0;0;0
PA-SANTA BARBARA DO PARA;0;0;0;0;19027,4499999997;778,680000000168;0;0;19806,1299999999
PA-SANTA CRUZ DO ARARI;0;0;0;0;0;0;0;0;0
PA-SANTA IZABEL DO PARA;0;0;0;0;0;0;0;0;0
PA-SANTA LUZIA DO PARA;0;0;0;0;0;0;0;0;0
PA-SANTA MARIA DAS BARREIRAS;0;0;0;0;0;0;0;0;0
PA-SANTA MARIA DO PARA;0;0;0;0;0;0;0;0;0
PA-SANTANA DO ARAGUAIA;0;0;0;0;0;0;0;0;0
PA-SANTAREM;0;0;0;0;0;0;0;0;0
PA-SANTAREM NOVO;0;0;0;0;0;0;0;0;0
PA-SANTO ANTONIO DO TAUA;0;0;0;0;8584,17000000016;0;0;0;8584,17000000016
PA-SAO CAETANO DE ODIVELAS;0;0;0;0;0;0;0;0;0
PA-SAO DOMINGOS DO ARAGUAIA;0;0;0;0;0;0;0;0;0
PA-SAO DOMINGOS DO CAPIM;0;0;0;0;0;0;0;0;0
PA-SAO FELIX DO XINGU;0;0;0;0;0;0;0;0;0
PA-SAO FRANCISCO DO PARA;0;0;0;0;0;0;0;0;0
PA-SAO GERALDO DO ARAGUAIA;0;0;0;0;0;0;0;0;0
PA-SAO JOAO DA PONTA;0;0;0;0;0;0;0;0;0
PA-SAO JOAO DE PIRABAS;0;0;0;0;0;0;0;0;0
PA-SAO JOAO DO ARAGUAIA;0;0;0;0;0;0;0;0;0
PA-SAO MIGUEL DO GUAMA;0;0;0;0;0;0;0;0;0
PA-SAO SEBASTIAO DA BOA VISTA;0;0;0;0;0;0;0;0;0
PA-SAPUCAIA;0;0;0;0;0;0;0;0;0
PA-SENADOR JOSE PORFIRIO;0;0;0;0;0;0;0;0;0
PA-SOURE;0;0;0;0;0;0;0;0;0
PA-TAILANDIA;0;0;0;0;544288,91000002;0;0;0;544288,91000002
PA-TERRA ALTA;0;0;0;0;0;0;0;0;0
PA-TERRA SANTA;0;0;0;0;0;0;0;0;0
PA-TOME-ACU;0;0;0;0;0;0;0;0;0
PA-TRACUATEUA;0;0;0;0;0;0;0;0;0
PA-TRAIRAO;0;0;0;0;0;0;0;0;0
PA-TUCUMA;0;0;0;0;0;0;0;0;0
PA-TUCURUI;0;0;0;0;0;0;0;0;0
PA-ULIANOPOLIS;0;0;0;0;0;0;0;0;0
PA-URUARA;0;0;0;0;0;0;0;0;0
PA-VIGIA;0;0;0;0;0;0;0;0;0
PA-VISEU;0;0;0;0;0;0;0;0;0
PA-VITORIA DO XINGU;0;0;0;0;0;0;0;0;0
PA-XINGUARA;0;0;0;0;0;0;0;0;0
PA-IGNORADO;0;0;0;0;0;0;0;0;0
AP-SERRA DO NAVIO;0;0;0;0;0;0;0;0;0
AP-AMAPA;0;0;0;0;0;0;0;0;0
AP-PEDRA BRANCA DO AMAPARI;0;0;0;0;0;0;0;0;0
AP-CALCOENE;0;0;0;0;0;0;0;0;0
AP-CUTIAS;0;0;0;0;0;0;0;0;0
AP-FERREIRA GOMES;0;0;0;0;0;0;0;0;0
AP-ITAUBAL;0;0;0;0;0;0;0;0;0
AP-LARANJAL DO JARI;0;0;0;0;0;0;0;0;0
AP-MACAPA;0;0;0;0;0;0;0;0;0
AP-MAZAGAO;0;0;0;0;0;0;0;0;0
AP-OIAPOQUE;0;0;0;0;0;0;0;0;0
AP-PORTO GRANDE;0;0;0;0;0;0;0;0;0
AP-PRACUUBA;0;0;0;0;0;0;0;0;0
AP-SANTANA;0;0;0;0;0;0;0;0;0
AP-TARTARUGALZINHO;0;0;0;0;0;0;0;0;0
AP-VITORIA DO JARI;0;0;0;0;0;0;0;0;0
AP-IGNORADO;0;0;0;0;0;0;0;0;0
TO-ABREULANDIA;0;0;0;0;0;0;0;0;0
TO-AGUIARNOPOLIS;0;0;0;0;0;0;0;0;0
TO-ALIANCA DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-ALMAS;0;0;0;0;0;0;0;0;0
TO-ALVORADA;0;0;0;0;0;0;600;0;600
TO-ANANAS;0;0;0;0;0;0;0;0;0
TO-ANGICO;0;0;0;0;0;0;0;0;0
TO-APARECIDA DO RIO NEGRO;0;0;0;0;0;0;0;0;0
TO-ARAGOMINAS;0;0;0;0;0;0;0;0;0
TO-ARAGUACEMA;0;0;0;0;0;0;0;0;0
TO-ARAGUACU;0;0;0;0;0;0;0;0;0
TO-ARAGUAINA;0;0;0;0;0;0;0;0;0
TO-ARAGUANA;0;0;0;0;0;0;0;0;0
TO-ARAGUATINS;0;0;0;0;0;0;0;0;0
TO-ARAPOEMA;0;0;0;0;0;0;0;0;0
TO-ARRAIAS;0;0;0;0;0;0;0;0;0
TO-AUGUSTINOPOLIS;0;0;0;0;0;0;0;0;0
TO-AURORA DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-AXIXA DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-BABACULANDIA;0;0;0;0;0;0;0;0;0
TO-BANDEIRANTES DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-BARRA DO OURO;0;0;0;0;0;0;0;0;0
TO-BARROLANDIA;0;0;0;0;0;0;0;0;0
TO-BERNARDO SAYAO;0;0;0;0;0;0;0;0;0
TO-BOM JESUS DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-BRASILANDIA DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-BREJINHO DE NAZARE;0;0;0;0;0;0;3179,98000000045;0;3179,98000000045
TO-BURITI DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-CACHOEIRINHA;0;0;0;0;0;0;0;0;0
TO-CAMPOS LINDOS;0;0;0;0;0;0;13192,2599999993;0;13192,2599999993
TO-CARIRI DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-CARMOLANDIA;0;0;0;0;0;0;0;0;0
TO-CARRASCO BONITO;0;0;0;0;0;0;0;0;0
TO-CASEARA;0;0;0;0;0;0;0;0;0
TO-CENTENARIO;0;0;0;0;0;0;0;0;0
TO-CHAPADA DE AREIA;0;0;0;0;0;0;0;0;0
TO-CHAPADA DA NATIVIDADE;0;0;0;0;0;0;0;0;0
TO-COLINAS DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-COMBINADO;0;0;0;0;0;0;0;0;0
TO-CONCEICAO DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-COUTO MAGALHAES;0;0;0;0;0;0;0;0;0
TO-CRISTALANDIA;0;0;0;0;0;0;0;0;0
TO-CRIXAS DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-DARCINOPOLIS;0;0;0;0;0;0;0;0;0
TO-DIANOPOLIS;0;0;0;0;0;0;1887,1400000006;0;1887,1400000006
TO-DIVINOPOLIS DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-DOIS IRMAOS DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-DUERE;0;0;0;0;0;0;316,879999999888;0;316,879999999888
TO-ESPERANTINA;0;0;0;0;0;0;0;0;0
TO-FATIMA;0;0;0;0;0;0;0;0;0
TO-FIGUEIROPOLIS;0;0;0;0;0;0;0;0;0
TO-FILADELFIA;0;0;0;0;0;0;0;0;0
TO-FORMOSO DO ARAGUAIA;0;0;0;0;0;0;3489,76000000071;0;3489,76000000071
TO-FORTALEZA DO TABOCAO;0;0;0;0;0;0;0;0;0
TO-GOIANORTE;0;0;0;0;0;0;0;0;0
TO-GOIATINS;0;0;0;0;0;0;0;0;0
TO-GUARAI;0;0;0;0;0;0;573,320000000298;0;573,320000000298
TO-GURUPI;0;0;0;0;0;0;800;0;800
TO-IPUEIRAS;0;0;0;0;0;0;560,459999999963;0;560,459999999963
TO-ITACAJA;0;0;0;0;0;0;0;0;0
TO-ITAGUATINS;0;0;0;0;0;0;0;0;0
TO-ITAPIRATINS;0;0;0;0;0;0;0;0;0
TO-ITAPORA DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-JAU DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-JUARINA;0;0;0;0;0;0;0;0;0
TO-LAGOA DA CONFUSAO;0;0;0;0;0;0;0;0;0
TO-LAGOA DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-LAJEADO;0;0;0;0;0;0;0;0;0
TO-LAVANDEIRA;0;0;0;0;0;0;0;0;0
TO-LIZARDA;0;0;0;0;0;0;0;0;0
TO-LUZINOPOLIS;0;0;0;0;0;0;0;0;0
TO-MARIANOPOLIS DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-MATEIROS;0;0;0;0;0;0;0;0;0
TO-MAURILANDIA DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-MIRACEMA DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-MIRANORTE;0;0;0;0;0;0;0;0;0
TO-MONTE DO CARMO;0;0;0;0;0;0;0;0;0
TO-MONTE SANTO DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-PALMEIRAS DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-MURICILANDIA;0;0;0;0;0;0;0;0;0
TO-NATIVIDADE;0;0;0;0;0;0;0;0;0
TO-NAZARE;0;0;0;0;0;0;0;0;0
TO-NOVA OLINDA;0;0;0;0;0;0;0;0;0
TO-NOVA ROSALANDIA;0;0;0;0;0;0;0;0;0
TO-NOVO ACORDO;0;0;0;0;0;0;0;0;0
TO-NOVO ALEGRE;0;0;0;0;0;0;0;0;0
TO-NOVO JARDIM;0;0;0;0;0;0;0;0;0
TO-OLIVEIRA DE FATIMA;0;0;0;0;0;0;0;0;0
TO-PALMEIRANTE;0;0;0;0;0;0;0;0;0
TO-PALMEIROPOLIS;0;0;0;0;0;0;0;0;0
TO-PARAISO DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-PARANA;0;0;0;0;0;0;0;0;0
TO-PAU D ARCO;0;0;0;0;0;0;0;0;0
TO-PEDRO AFONSO;0;0;0;0;0;0;0;0;0
TO-PEIXE;0;0;0;0;0;0;0;0;0
TO-PEQUIZEIRO;0;0;0;0;0;0;0;0;0
TO-COLMEIA;0;0;0;0;0;0;0;0;0
TO-PINDORAMA DO TOCANTINS;0;0;0;0;0;0;0;0;0
TO-PIRAQUE;0;0;0;0;0;0;0;0;0
TO-PIUM;0;0;0;0;0;0;0;0;0
TO-PONTE ALTA DO BOM JESUS;0;0;0;0;0;0;0;0;0
TO-PONTE ALTA DO TOCANTINS;0;0;0;0;0;0;515,269999999553;0;515,269999999553
TO-PORTO ALEGRE DO TOCANTINS;0;0;0;0;0;0;887,490000000224;0;887,490000000224
TO-PORTO NACIONAL;0;0;0;0;0;0;2255,5;0;2255,5
TO-PRAIA NORTE;0;0;0;0;0;0;0;0;0
TO-PRESIDENTE KENNEDY;0;0;0;0;0;0;0;0;0
TO-PUGMIL;0;0;0;0;0;0;0;0;0
