"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Cód.";"Município";"Produto das lavouras temporárias e permanentes x Ano"
"Cód.";"Município";"Dendê (cacho de coco)";"Girassol (em grão)";"Mamona (baga)";"Soja (em grão)"
"Cód.";"Município";"2004";"2004";"2004";"2004"
"1100015";"Alta Floresta D'Oeste (RO)";"-";"...";"-";"180"
"1100023";"Ariquemes (RO)";"-";"...";"-";"-"
"1100031";"Cabixi (RO)";"-";"...";"-";"4500"
"1100049";"Cacoal (RO)";"-";"...";"-";"-"
"1100056";"Cerejeiras (RO)";"-";"...";"-";"21552"
"1100064";"Colorado do Oeste (RO)";"-";"...";"-";"3780"
"1100072";"Corumbiara (RO)";"-";"...";"-";"18000"
"1100080";"Costa Marques (RO)";"-";"...";"-";"-"
"1100098";"Espigão D'Oeste (RO)";"-";"...";"-";"-"
"1100106";"Guajará-Mirim (RO)";"-";"...";"-";"-"
"1100114";"Jaru (RO)";"-";"...";"-";"-"
"1100122";"Ji-Paraná (RO)";"-";"...";"-";"-"
"1100130";"Machadinho D'Oeste (RO)";"-";"...";"-";"-"
"1100148";"Nova Brasilândia D'Oeste (RO)";"-";"...";"-";"-"
"1100155";"Ouro Preto do Oeste (RO)";"-";"...";"-";"-"
"1100189";"Pimenta Bueno (RO)";"-";"...";"-";"-"
"1100205";"Porto Velho (RO)";"-";"...";"-";"-"
"1100254";"Presidente Médici (RO)";"-";"...";"-";"-"
"1100262";"Rio Crespo (RO)";"-";"...";"-";"-"
"1100288";"Rolim de Moura (RO)";"-";"...";"-";"-"
"1100296";"Santa Luzia D'Oeste (RO)";"-";"...";"-";"-"
"1100304";"Vilhena (RO)";"-";"...";"-";"90240"
"1100320";"São Miguel do Guaporé (RO)";"-";"...";"-";"-"
"1100338";"Nova Mamoré (RO)";"-";"...";"-";"-"
"1100346";"Alvorada D'Oeste (RO)";"-";"...";"-";"-"
"1100379";"Alto Alegre dos Parecis (RO)";"-";"...";"-";"-"
"1100403";"Alto Paraíso (RO)";"-";"...";"-";"-"
"1100452";"Buritis (RO)";"-";"...";"-";"-"
"1100502";"Novo Horizonte do Oeste (RO)";"-";"...";"-";"-"
"1100601";"Cacaulândia (RO)";"-";"...";"-";"-"
"1100700";"Campo Novo de Rondônia (RO)";"-";"...";"-";"-"
"1100809";"Candeias do Jamari (RO)";"-";"...";"-";"-"
"1100908";"Castanheiras (RO)";"-";"...";"-";"-"
"1100924";"Chupinguaia (RO)";"-";"...";"-";"16500"
"1100940";"Cujubim (RO)";"-";"...";"-";"-"
"1101005";"Governador Jorge Teixeira (RO)";"-";"...";"-";"-"
"1101104";"Itapuã do Oeste (RO)";"-";"...";"-";"-"
"1101203";"Ministro Andreazza (RO)";"-";"...";"-";"-"
"1101302";"Mirante da Serra (RO)";"-";"...";"-";"-"
"1101401";"Monte Negro (RO)";"-";"...";"-";"-"
"1101435";"Nova União (RO)";"-";"...";"-";"-"
"1101450";"Parecis (RO)";"-";"...";"-";"-"
"1101468";"Pimenteiras do Oeste (RO)";"-";"...";"-";"8277"
"1101476";"Primavera de Rondônia (RO)";"-";"...";"-";"-"
"1101484";"São Felipe D'Oeste (RO)";"-";"...";"-";"-"
"1101492";"São Francisco do Guaporé (RO)";"-";"...";"-";"-"
"1101500";"Seringueiras (RO)";"-";"...";"-";"-"
"1101559";"Teixeirópolis (RO)";"-";"...";"-";"-"
"1101609";"Theobroma (RO)";"-";"...";"-";"-"
"1101708";"Urupá (RO)";"-";"...";"-";"-"
"1101757";"Vale do Anari (RO)";"-";"...";"-";"-"
"1101807";"Vale do Paraíso (RO)";"-";"...";"-";"-"
"1200013";"Acrelândia (AC)";"-";"...";"-";"-"
"1200054";"Assis Brasil (AC)";"-";"...";"-";"-"
"1200104";"Brasiléia (AC)";"-";"...";"-";"-"
"1200138";"Bujari (AC)";"-";"...";"-";"-"
"1200179";"Capixaba (AC)";"-";"...";"-";"-"
"1200203";"Cruzeiro do Sul (AC)";"-";"...";"-";"-"
"1200252";"Epitaciolândia (AC)";"-";"...";"-";"-"
"1200302";"Feijó (AC)";"-";"...";"-";"-"
"1200328";"Jordão (AC)";"-";"...";"-";"-"
"1200336";"Mâncio Lima (AC)";"-";"...";"-";"-"
"1200344";"Manoel Urbano (AC)";"-";"...";"-";"-"
"1200351";"Marechal Thaumaturgo (AC)";"-";"...";"-";"-"
"1200385";"Plácido de Castro (AC)";"-";"...";"-";"-"
"1200393";"Porto Walter (AC)";"-";"...";"-";"-"
"1200401";"Rio Branco (AC)";"-";"...";"-";"-"
"1200427";"Rodrigues Alves (AC)";"-";"...";"-";"-"
"1200435";"Santa Rosa do Purus (AC)";"-";"...";"-";"-"
"1200450";"Senador Guiomard (AC)";"-";"...";"-";"-"
"1200500";"Sena Madureira (AC)";"-";"...";"-";"-"
"1200609";"Tarauacá (AC)";"-";"...";"-";"-"
"1200708";"Xapuri (AC)";"-";"...";"-";"-"
"1200807";"Porto Acre (AC)";"-";"...";"-";"-"
"1300029";"Alvarães (AM)";"-";"...";"-";"-"
"1300060";"Amaturá (AM)";"-";"...";"-";"-"
"1300086";"Anamã (AM)";"-";"...";"-";"-"
"1300102";"Anori (AM)";"-";"...";"-";"-"
"1300144";"Apuí (AM)";"-";"...";"-";"-"
"1300201";"Atalaia do Norte (AM)";"-";"...";"-";"-"
"1300300";"Autazes (AM)";"-";"...";"-";"-"
"1300409";"Barcelos (AM)";"-";"...";"-";"-"
"1300508";"Barreirinha (AM)";"-";"...";"-";"-"
"1300607";"Benjamin Constant (AM)";"-";"...";"-";"-"
"1300631";"Beruri (AM)";"-";"...";"-";"-"
"1300680";"Boa Vista do Ramos (AM)";"-";"...";"-";"-"
"1300706";"Boca do Acre (AM)";"-";"...";"-";"-"
"1300805";"Borba (AM)";"-";"...";"-";"-"
"1300839";"Caapiranga (AM)";"-";"...";"-";"-"
"1300904";"Canutama (AM)";"-";"...";"-";"-"
"1301001";"Carauari (AM)";"-";"...";"-";"-"
"1301100";"Careiro (AM)";"-";"...";"-";"-"
"1301159";"Careiro da Várzea (AM)";"-";"...";"-";"-"
"1301209";"Coari (AM)";"-";"...";"-";"-"
"1301308";"Codajás (AM)";"-";"...";"-";"-"
"1301407";"Eirunepé (AM)";"-";"...";"-";"-"
"1301506";"Envira (AM)";"-";"...";"-";"-"
"1301605";"Fonte Boa (AM)";"-";"...";"-";"-"
"1301654";"Guajará (AM)";"-";"...";"-";"-"
"1301704";"Humaitá (AM)";"-";"...";"-";"5000"
"1301803";"Ipixuna (AM)";"-";"...";"-";"-"
"1301852";"Iranduba (AM)";"-";"...";"-";"11"
"1301902";"Itacoatiara (AM)";"-";"...";"-";"450"
"1301951";"Itamarati (AM)";"-";"...";"-";"-"
"1302009";"Itapiranga (AM)";"-";"...";"-";"-"
"1302108";"Japurá (AM)";"-";"...";"-";"-"
"1302207";"Juruá (AM)";"-";"...";"-";"-"
"1302306";"Jutaí (AM)";"-";"...";"-";"-"
"1302405";"Lábrea (AM)";"-";"...";"-";"-"
"1302504";"Manacapuru (AM)";"-";"...";"-";"-"
"1302553";"Manaquiri (AM)";"-";"...";"-";"-"
"1302603";"Manaus (AM)";"-";"...";"-";"-"
